"Date","Price","Open","High","Low","Vol.","Change %"
"23-01-2025","23,394.30","23,321.05","23,449.00","23,264.30","882.53K","0.27%"
"22-01-2025","23,331.30","23,279.95","23,349.00","23,150.10","1.23M","0.41%"
"21-01-2025","23,235.90","23,598.95","23,598.95","23,190.00","1.81M","-1.27%"
"20-01-2025","23,534.30","23,457.80","23,580.00","23,360.00","534.15K","0.56%"
"17-01-2025","23,402.60","23,469.85","23,480.00","23,290.00","792.68K","-0.45%"
"16-01-2025","23,508.65","23,529.70","23,550.90","23,480.00","667.58K","0.46%"
"15-01-2025","23,400.65","23,420.05","23,479.70","23,341.05","370.65K","0.00%"
"14-01-2025","23,399.60","23,348.00","23,471.20","23,335.75","818.10K","0.44%"
"13-01-2025","23,298.05","23,453.05","23,550.00","23,250.00","1.10M","-1.45%"
"10-01-2025","23,640.15","23,770.30","23,822.45","23,567.75","904.88K","-0.63%"
"09-01-2025","23,789.30","23,911.00","23,911.00","23,755.05","512.03K","-0.56%"
"08-01-2025","23,922.90","23,952.00","23,975.70","23,737.05","632.18K","-0.05%"
"07-01-2025","23,934.40","23,919.95","24,017.45","23,877.00","371.33K","0.32%"
"06-01-2025","23,857.35","24,276.00","24,286.00","23,801.00","716.03K","-1.55%"
"03-01-2025","24,234.15","24,370.10","24,400.00","24,213.00","452.18K","-0.72%"
"02-01-2025","24,410.85","24,062.00","24,444.00","24,008.45","527.78K","1.54%"
"01-01-2025","24,039.75","23,910.05","24,100.00","23,855.00","216.60K","0.36%"
"31-12-2024","23,952.85","23,867.25","24,000.00","23,750.00","335.85K","-0.04%"
"30-12-2024","23,962.30","24,086.10","24,212.65","23,915.25","365.70K","-0.71%"
"27-12-2024","24,132.60","24,089.00","24,259.00","24,088.95","261.68K","0.89%"
"26-12-2024","23,919.75","23,985.00","24,026.50","23,809.50","6.13M","-0.04%"
"24-12-2024","23,929.25","23,950.00","24,041.50","23,878.60","5.52M","-0.05%"
"23-12-2024","23,941.50","23,855.75","24,074.50","23,840.00","2.70M","0.62%"
"20-12-2024","23,793.40","24,200.00","24,285.10","23,750.00","2.76M","-1.70%"
"19-12-2024","24,204.45","24,242.00","24,244.70","24,120.00","1.31M","-0.97%"
"18-12-2024","24,441.20","24,580.05","24,647.00","24,405.00","985.23K","-0.68%"
"17-12-2024","24,608.20","24,899.85","24,899.85","24,575.00","1.14M","-1.26%"
"16-12-2024","24,921.55","24,950.00","25,025.00","24,856.00","604.40K","-0.34%"
"13-12-2024","25,006.70","24,807.40","25,043.10","24,424.80","1.37M","0.71%"
"12-12-2024","24,829.30","24,912.55","24,937.70","24,807.40","274.48K","-0.32%"
"11-12-2024","24,909.75","24,865.05","24,960.00","24,840.95","266.10K","0.21%"
"10-12-2024","24,856.65","24,870.15","24,935.00","24,775.00","295.38K","-0.03%"
"09-12-2024","24,865.15","24,901.15","24,944.45","24,830.00","313.45K","-0.34%"
"06-12-2024","24,951.10","24,927.35","25,011.75","24,866.20","448.28K","0.09%"
"05-12-2024","24,929.75","24,680.65","25,085.00","24,566.95","998.78K","0.84%"
"04-12-2024","24,721.80","24,710.00","24,814.00","24,602.00","514.00K","0.06%"
"03-12-2024","24,707.10","24,574.00","24,745.00","24,510.00","409.08K","0.50%"
"02-12-2024","24,585.10","24,400.00","24,631.00","24,330.05","438.70K","0.49%"
"29-11-2024","24,465.40","24,225.00","24,523.00","24,225.00","532.00K","1.45%"
"28-11-2024","24,115.25","24,460.25","24,510.00","24,056.05","12.00M","-1.32%"
